City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
231,Lagoa,PT,2022-03-16 04:37:23,39.05,-27.9833,55.51,57,93,6.35
232,Maridi,SS,2022-03-16 04:41:29,4.9158,29.4742,73.62,30,98,5.39
233,Eureka,US,2022-03-16 04:41:30,40.8021,-124.1637,50.74,83,100,4.38
234,Khani,GE,2022-03-16 04:41:30,41.9563,42.9566,24.37,79,100,0.54
235,Albury,AU,2022-03-16 04:39:48,-36.0833,146.9167,75.25,81,40,9.22
236,Zolotonosha,UA,2022-03-16 04:41:31,49.6689,32.0377,28.13,76,6,8.75
237,Port Lincoln,AU,2022-03-16 04:41:31,-34.7333,135.8667,70.47,76,100,14.52
238,Torbay,CA,2022-03-16 04:41:32,47.6666,-52.7314,25.57,64,20,31.07
239,Saint George,US,2022-03-16 04:37:08,37.1041,-113.5841,63.95,22,0,1.01
240,Wattwil,CH,2022-03-16 04:41:32,47.3023,9.0876,47.84,75,100,3.91
241,San Juan,AR,2022-03-16 04:41:32,-31.5375,-68.5364,75.49,32,0,1.99
242,Redmond,US,2022-03-16 04:41:01,47.674,-122.1215,47.86,81,98,5.01
243,Lavrentiya,RU,2022-03-16 04:41:33,65.5833,-171.0,-0.8,82,11,7.38
244,Cordoba,AR,2022-03-16 04:37:48,-31.4135,-64.1811,67.19,94,0,6.91
245,Chengde,CN,2022-03-16 04:41:34,40.9725,117.9361,47.79,33,97,2.77
246,Vetluzhskiy,RU,2022-03-16 04:41:34,58.3902,45.4654,14.2,87,57,4.43
247,Chateaubelair,VC,2022-03-16 04:41:34,13.2833,-61.25,76.01,79,25,17.07
248,Sabha,LY,2022-03-16 04:41:35,27.0377,14.4283,48.33,37,0,12.62
249,Arraial Do Cabo,BR,2022-03-16 04:41:35,-22.9661,-42.0278,76.66,91,7,11.72
250,Olinda,BR,2022-03-16 04:41:36,-8.0089,-34.8553,82.13,78,40,6.91
251,Ust-Nera,RU,2022-03-16 04:41:36,64.5667,143.2,5.59,84,69,2.98
252,Luanda,AO,2022-03-16 04:41:36,-8.8368,13.2343,76.14,81,94,5.08
253,Abashiri,JP,2022-03-16 04:41:37,44.0213,144.2697,34.09,93,75,5.75
254,Oudtshoorn,ZA,2022-03-16 04:41:37,-33.5907,22.2014,57.56,75,29,1.83
255,Bambous Virieux,MU,2022-03-16 04:41:37,-20.3428,57.7575,82.22,100,75,5.75
256,Bayshore Gardens,US,2022-03-16 04:41:38,27.4253,-82.5904,68.07,78,75,3.44
257,Alyangula,AU,2022-03-16 04:41:38,-13.8483,136.4192,91.27,66,75,11.5
258,Bani,DO,2022-03-16 04:41:39,18.2833,-70.3333,74.86,78,1,11.39
259,Horia,RO,2022-03-16 04:41:39,45.0167,28.45,27.63,62,75,1.5
260,Vitim,RU,2022-03-16 04:41:39,59.4511,112.5578,10.83,82,100,10.25
261,Ilulissat,GL,2022-03-16 04:41:40,69.2167,-51.1,-2.18,60,100,14.97
262,Umm Kaddadah,SD,2022-03-16 04:41:40,13.6017,26.6876,56.71,21,4,21.83
263,Norman Wells,CA,2022-03-16 04:41:40,65.282,-126.8329,-7.56,64,75,4.61
264,Kano,NG,2022-03-16 04:40:07,12.0001,8.5167,73.29,25,19,9.22
265,Narsaq,GL,2022-03-16 04:41:41,60.9167,-46.05,-0.18,68,91,7.78
266,Sarangani,PH,2022-03-16 04:41:42,5.4033,125.4636,83.91,77,61,17.29
267,Shenzhen,CN,2022-03-16 04:41:42,22.5455,114.0683,79.99,83,99,7.94
