City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
300,Birin,NP,58.93,clear sky,26.8865,88.0718,Sangam hotel and lodge
301,Lagdo,CM,81.54,few clouds,9.05,13.7333,
302,Finschhafen,PG,82.85,overcast clouds,-6.6024,147.8681,Cossam Guest House
303,Puerto Escondido,MX,85.44,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
304,Port Augusta,AU,76.17,broken clouds,-32.5,137.7667,Majestic Oasis Apartments
305,Maine-Soroa,NE,71.8,broken clouds,13.2114,12.0241,Complexe
306,Ekhabi,RU,23.63,overcast clouds,53.5102,142.9671,
307,La Palma,US,84.25,clear sky,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
308,Lompoc,US,80.56,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
309,Codrington,AU,67.32,scattered clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
310,Stefan Cel Mare,RO,31.05,light snow,46.9833,26.5167,Pensiunea ANA
311,Jesup,US,80.53,scattered clouds,31.6074,-81.8854,Western Motel
312,Abnub,EG,52.47,clear sky,27.2696,31.1511,مضيفت اولاد احمد ابو حسين
313,Broken Hill,AU,74.03,overcast clouds,-31.95,141.4333,Royal Exchange Hotel
314,Saint-Philippe,RE,78.39,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
315,Cudahy,US,85.51,clear sky,33.9606,-118.1853,Quality Inn & Suites Bell Gardens-Los Angeles
316,Dese,ET,55.02,overcast clouds,11.1333,39.6333,Joamla Hotel
317,Chapayeve,UA,17.87,scattered clouds,49.3662,35.8749,
318,Isangel,VU,83.35,overcast clouds,-19.55,169.2667,Tanna Lodge
319,Cap Malheureux,MU,78.48,light rain,-19.9842,57.6142,Pereybere Hotel & Spa
320,Santa Cruz Das Palmeiras,BR,71.47,overcast clouds,-21.8269,-47.2486,Hotel Lucatelli
321,San Antonio,US,86.45,clear sky,29.4241,-98.4936,Drury Plaza Hotel San Antonio Riverwalk
322,Soyo,AO,79.36,overcast clouds,-6.1349,12.3689,Hotel Mpampa
323,Ulaanbaatar,MN,10.53,light snow,47.9077,106.8832,The Blue Sky Hotel and Tower
324,Basoko,CD,72.72,overcast clouds,1.2391,23.616,Jackyna Hotel
325,Mangrol,IN,76.03,clear sky,21.1167,70.1167,Hotel The Royal Honours
326,Gushikawa,JP,70.83,few clouds,26.3544,127.8686,Kirari Guest House
327,Harper,LR,79.83,broken clouds,4.375,-7.7169,Screensaver
328,Kuliyapitiya,LK,82.08,overcast clouds,7.4688,80.0401,Rest House
330,Fujinomiya,JP,52.95,broken clouds,35.2167,138.6167,Fujinomiya Green Hotel
331,Brigantine,US,60.04,clear sky,39.4101,-74.3646,Legacy Vacation Resorts - Brigantine Beach
332,Vanimo,PG,78.39,light rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
333,Sur,OM,81.55,broken clouds,22.5667,59.5289,Sur Plaza Hotel
334,Asau,RO,34.95,overcast clouds,46.4333,26.4,Casa Mika Ciobanus
336,Nova Venecia,BR,75.9,broken clouds,-18.7106,-40.4006,Hotel Ferrari - Rede Ferrari
337,Bossangoa,CF,74.91,broken clouds,6.4926,17.4552,LA PERLE DE BOSTON
338,Tecoanapa,MX,84.6,clear sky,16.5167,-98.75,Hotel Manglares
339,Lauro Muller,BR,68.79,broken clouds,-28.3928,-49.3967,Hotel Chaminé
340,Kargasok,RU,18.21,light snow,59.0556,80.8572,Hotel Kargasok
341,Kutum,SD,55.74,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
342,Tessalit,ML,79.79,overcast clouds,20.1986,1.0114,
344,Nhulunbuy,AU,77.61,broken clouds,-12.2333,136.7667,East Arnhem Real Estate
345,Abu Samrah,SY,37.76,clear sky,35.3029,37.1841,
346,Zaraza,VE,82.44,light rain,9.3503,-65.3245,Hotel Zaraza
347,Tura,IN,70.12,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
348,Tongren,CN,66.51,light rain,27.7172,109.1853,Fanjing Mountain International Conference Center
349,Vila Franca Do Campo,PT,59.2,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
350,Wilkie,CA,36.9,scattered clouds,52.4168,-108.7014,Wilkie Motel
351,Pendleton,US,58.6,few clouds,45.6721,-118.7886,Americas Best Value Inn Pendleton
352,Ca Mau,VN,76.32,overcast clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
353,Farah,AF,71.37,clear sky,32.5,62.5,
355,Narsaq,GL,7.02,broken clouds,60.9167,-46.05,Sleep In Narsaq
356,Ulagan,RU,3.27,overcast clouds,50.6321,87.9563,Gostevoy Dom
357,Wajid,SO,77.86,broken clouds,3.8093,43.2471,xamdihotelresturant114
358,Sarkand,KZ,31.53,overcast clouds,45.41,79.9186,Гостиница Сарканд
359,Biltine,TD,67.64,clear sky,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
